acou0,acou1,dance0,dance1,energy0,energy1,loud0,loud1,speech0,speech1,tempo0,tempo1,val0,val1
0.694,0.991,0.585,0.24,0.303,0.0309,-10.058,-27.569,0.0398,0.0578,136.703,83.457,0.142,0.0395
0.142,0.928,0.773,0.23,0.525,0.138,-11.398,-11.24,0.0385,0.0332,119.024,78.839,0.616,0.0371
0.0824,0.971,0.472,0.155,0.373,0.164,-9.54,-16.795,0.028,0.0434,149.804,81.061,0.337,0.0527
0.697,0.991,0.547,0.15,0.39,0.0969,-5.946,-20.803,0.0271,0.0425,128.728,81.014,0.477,0.0361
0.544,0.21,0.643,0.087,0.569,0.0507,-7.459,-30.065,0.0276,0.0432,120.507,84.323,0.275,0.0393
0.938,0.965,0.724,0.0695,0.184,0.0108,-11.416,-26.729,0.0317,0.0429,112.044,75.279,0.252,0.0377
0.648,0.989,0.45,0.672,0.658,0.0644,-7.064,-20.318,0.0472,0.0763,106.799,110.281,0.781,0.468
0.726,0.919,0.349,0.293,0.348,0.0382,-6.142,-21.783,0.0316,0.0413,74.541,110.257,0.0886,0.0549
0.142,0.835,0.675,0.523,0.764,0.355,-6.243,-18.096,0.0373,0.0631,120.009,115.538,0.474,0.257
0.296,0.991,0.623,0.451,0.417,0.0351,-8.699,-27.674,0.0354,0.0363,130.032,116.588,0.721,0.221
0.405,0.941,0.373,0.146,0.367,0.253,-8.075,-14.952,0.0277,0.0368,77.285,93.977,0.165,0.0379
0.869,0.931,0.629,0.124,0.254,0.0847,-9.635,-24.347,0.0687,0.0501,96.189,72.354,0.457,0.0348
0.762,0.992,0.339,0.19,0.249,0.0266,-13.669,-25.947,0.0296,0.0428,94.874,122.353,0.159,0.0574
0.0124,0.99,0.738,0.208,0.937,0.0181,-7.788,-30.21,0.0668,0.0369,131.994,69.774,0.614,0.176
0.663,0.914,0.485,0.382,0.307,0.356,-13.129,-11.06,0.0565,0.0305,80.171,105.779,0.132,0.378
0.0647,0.978,0.575,0.202,0.886,0.0466,-5.182,-24.104,0.034,0.0465,96.308,129.227,0.608,0.0366
0.23,0.849,0.736,0.155,0.411,0.176,-6.705,-15.716,0.0299,0.0374,94.998,84.962,0.798,0.0372
0.217,0.989,0.675,0.278,0.885,0.0815,-4.432,-29.749,0.0436,0.0374,97.03,60.267,0.768,0.0894
0.694,0.989,0.522,0.299,0.44,0.00165,-7.337,-35.511,0.0268,0.0504,119.866,67.199,0.183,0.186
0.0992,0.979,0.547,0.0771,0.752,0.175,-5.153,-19.571,0.0274,0.0396,150.002,76.388,0.716,0.109
0.0618,0.943,0.849,0.357,0.619,0.083,-4.774,-23.775,0.0695,0.0409,94.762,139.334,0.656,0.145
0.428,0.891,0.743,0.118,0.389,0.167,-9.616,-19.203,0.0317,0.0393,86.036,92.682,0.56,0.0272
0.704,0.826,0.358,0.165,0.275,0.139,-8.324,-18.908,0.0277,0.042,103.581,130.285,0.117,0.0394
0.785,0.943,0.531,0.187,0.157,0.0169,-14.553,-30.742,0.0493,0.0359,68.964,103.833,0.347,0.0843
0.308,0.993,0.696,0.187,0.543,0.00914,-6.164,-31.231,0.0489,0.0362,107.969,67.144,0.479,0.0383
0.623,0.959,0.674,0.286,0.536,0.0436,-7.288,-22.429,0.0345,0.0422,143.975,182.569,0.673,0.214
0.794,0.989,0.685,0.311,0.466,0.084,-9.074,-23.293,0.0304,0.035,79.936,106.178,0.353,0.131
0.227,0.975,0.51,0.233,0.308,0.0252,-9.168,-24.824,0.0321,0.0346,126.349,94.736,0.138,0.0936
0.152,0.936,0.677,0.187,0.497,0.0236,-5.763,-29.865,0.0809,0.0397,99.137,132.868,0.419,0.0374
0.634,0.927,0.566,0.367,0.664,0.316,-5.303,-14.49,0.0464,0.0429,128.945,149.089,0.437,0.242
0.106,0.886,0.477,0.236,0.606,0.113,-6.758,-22.199,0.0253,0.0497,75.183,85.145,0.515,0.115
0.554,0.965,0.453,0.227,0.496,0.0306,-5.785,-24.838,0.0453,0.0476,80.994,132.25,0.501,0.0355
0.491,0.992,0.576,0.43,0.39,0.168,-7.202,-22.072,0.0297,0.0617,73.433,149.934,0.319,0.601
0.448,0.984,0.599,0.0815,0.785,0.122,-4.013,-20.99,0.0309,0.0499,140.046,76.849,0.52,0.0343
0.932,0.992,0.612,0.318,0.28,0.107,-8.648,-22.092,0.0434,0.05,72.795,133.131,0.387,0.133
0.76,0.901,0.723,0.166,0.489,0.0952,-6.835,-23.083,0.0262,0.0491,109.96,64.276,0.649,0.0388
0.0294,0.958,0.591,0.25,0.741,0.135,-5.751,-18.615,0.139,0.0488,97.048,94.404,0.452,0.179
0.594,0.994,0.664,0.444,0.491,0.0614,-6.544,-21.038,0.042,0.0504,127.97,91.646,0.24,0.0699
0.805,0.99,0.398,0.362,0.316,0.00387,-7.031,-32.502,0.0368,0.0424,118.582,51.444,0.174,0.0368
0.541,0.995,0.595,0.27,0.497,0.0533,-5.013,-26.88,0.0245,0.0399,140.013,68.738,0.289,0.0489
0.552,0.991,0.477,0.319,0.493,0.158,-7.346,-21.696,0.0291,0.0585,148.984,81.164,0.463,0.163
0.633,0.527,0.675,0.332,0.479,0.218,-9.87,-15.772,0.0278,0.0392,81.998,124.63,0.454,0.538
0.893,0.993,0.476,0.29,0.3,0.00509,-10.737,-28.657,0.0277,0.0397,144.163,66.517,0.304,0.108
0.847,0.956,0.522,0.113,0.358,0.222,-9.214,-13.203,0.03,0.0438,137.66,176.754,0.105,0.0493
0.193,0.933,0.557,0.201,0.609,0.0856,-4.463,-21.483,0.0259,0.0443,104.01,117.229,0.172,0.138
0.804,0.89,0.568,0.275,0.293,0.157,-10.253,-18.752,0.0313,0.0636,147.175,73.289,0.247,0.304
0.0369,0.929,0.738,0.226,0.861,0.0502,-5.916,-26.254,0.0324,0.0496,104.027,124.772,0.756,0.0424
0.0196,0.974,0.484,0.102,0.841,0.0733,-5.438,-24.133,0.0291,0.0488,92.124,73.954,0.304,0.0308
0.065,0.979,0.425,0.513,0.889,0.147,-5.7,-16.76,0.0802,0.0845,162.596,139.409,0.644,0.126
0.171,0.991,0.618,0.223,0.896,0.0217,-5.357,-29.582,0.0307,0.0373,113.961,93.019,0.711,0.0386
0.00577,0.942,0.706,0.13,0.801,0.107,-6.333,-21.869,0.0399,0.0443,100.013,93.846,0.63,0.0457
0.609,0.971,0.881,0.132,0.394,0.0219,-7.835,-31.859,0.059,0.0428,106.009,66.031,0.915,0.0602
0.595,0.982,0.686,0.342,0.457,0.0179,-8.322,-24.846,0.0468,0.0387,150.953,61.757,0.718,0.0382
0.227,0.99,0.627,0.267,0.488,0.103,-11.35,-23.276,0.0552,0.0431,77.975,163.819,0.455,0.0723
0.607,0.971,0.614,0.148,0.379,0.0441,-10.48,-24.975,0.0476,0.0418,107.989,75.515,0.201,0.0883
0.75,0.839,0.496,0.074,0.246,0.0114,-9.882,-32.866,0.0267,0.0438,149.977,79.556,0.23,0.0339
0.697,0.994,0.53,0.311,0.346,0.0075,-10.497,-30.619,0.0376,0.0397,121.876,68.138,0.359,0.0387
0.435,0.946,0.487,0.324,0.559,0.0412,-5.587,-20.622,0.0299,0.0402,88.657,137.448,0.26,0.194
0.101,0.865,0.768,0.215,0.864,0.166,-6.145,-16.627,0.0324,0.0367,110.008,103.442,0.891,0.0411
0.546,0.984,0.352,0.429,0.45,0.231,-9.881,-21.185,0.0293,0.0348,86.937,90.316,0.114,0.354
0.83,0.987,0.581,0.343,0.443,0.0209,-8.678,-27.015,0.0357,0.0398,76.845,125.242,0.446,0.0393
0.861,0.947,0.624,0.101,0.28,0.0241,-10.415,-30.172,0.029,0.0485,105.087,87.14,0.288,0.0329
0.348,0.887,0.591,0.357,0.718,0.00648,-6.025,-25.234,0.0368,0.0456,117.995,101.45,0.468,0.0925
0.848,0.293,0.422,0.169,0.243,0.00183,-8.493,-39.286,0.0346,0.0475,92.831,122.417,0.227,0.04
0.108,0.98,0.539,0.167,0.493,0.0877,-8.161,-22.997,0.0323,0.0479,152.03,91.867,0.281,0.0325
0.309,0.939,0.421,0.0974,0.407,0.0547,-7.445,-19.9,0.0267,0.0392,139.028,67.754,0.161,0.0364
0.713,0.99,0.623,0.191,0.439,0.0946,-7.737,-25.59,0.0294,0.0365,122.862,110.502,0.695,0.348
0.763,0.727,0.722,0.102,0.488,0.0309,-6.807,-29.013,0.0265,0.0433,109.955,81.934,0.628,0.0345
0.669,0.95,0.642,0.356,0.289,0.207,-9.918,-17.76,0.0367,0.0388,84.996,146.755,0.407,0.328
0.962,0.992,0.47,0.137,0.271,0.078,-8.335,-26.417,0.0392,0.0407,129.623,99.966,0.388,0.0441
0.905,0.987,0.498,0.496,0.203,0.411,-11.577,-20.605,0.0297,0.0799,65.827,132.102,0.358,0.563
0.155,0.73,0.5,0.442,0.74,0.079,-3.317,-30.029,0.0398,0.0363,123.45,131.745,0.332,0.422
0.949,0.72,0.652,0.333,0.188,0.125,-11.136,-19.339,0.0353,0.0337,110.897,113.221,0.331,0.203
