"","playlist","acou","dance","energy","loud","speech","tempo","val"
"1",0,0.694,0.585,0.303,0.841275707639463,0.0398,0.544824236847318,0.142
"5",0,0.544,0.643,0.569,0.897778164268012,0.0276,0.441328144470218,0.275
"6",0,0.938,0.724,0.184,0.811752684899343,0.0317,0.387247665970132,0.252
"14",0,0.0124,0.738,0.937,0.890625679377364,0.0668,0.514732664915745,0.614
"15",0,0.663,0.485,0.307,0.774511935301535,0.0565,0.183572008256171,0.132
"21",0,0.0618,0.849,0.619,0.956150267402931,0.0695,0.276811788688023,0.656
"26",0,0.623,0.674,0.536,0.901495717205096,0.0345,0.591293956763734,0.673
"27",0,0.794,0.685,0.466,0.862667942084438,0.0304,0.182070305261073,0.353
"30",0,0.634,0.566,0.664,0.944649767381191,0.0464,0.495248867332528,0.437
"36",0,0.76,0.723,0.489,0.911343971477021,0.0262,0.373930436005087,0.649
"40",0,0.541,0.595,0.497,0.950954389321275,0.0245,0.565975883288921,0.289
"41",0,0.552,0.477,0.493,0.900234792817079,0.0291,0.623302596348625,0.463
"42",0,0.633,0.675,0.479,0.84536284186269,0.0278,0.195246950264875,0.454
"43",0,0.893,0.476,0.3,0.826514196269403,0.0277,0.592495319159813,0.304
"44",0,0.847,0.522,0.358,0.859624331492674,0.03,0.550939682661401,0.105
"46",0,0.804,0.568,0.293,0.837036392886647,0.0313,0.611742678399121,0.247
"47",0,0.0369,0.738,0.861,0.931323101004391,0.0324,0.336017228047978,0.756
"50",0,0.171,0.618,0.896,0.943475803295795,0.0307,0.399497728274831,0.711
"54",0,0.227,0.627,0.488,0.813187529892604,0.0552,0.169539073033887,0.455
"59",0,0.101,0.768,0.864,0.92634462367929,0.0324,0.374237166829617,0.891
"63",0,0.348,0.591,0.718,0.928953432757946,0.0368,0.42527589798644,0.468
"64",0,0.848,0.422,0.243,0.875298926040262,0.0346,0.264472263226169,0.227
"66",0,0.309,0.421,0.407,0.898082525327188,0.0267,0.559681511160529,0.161
"73",0,0.949,0.652,0.188,0.817839906082873,0.0353,0.379918077308948,0.331
"79",0,0.0649,0.663,0.712,0.952432714465846,0.0381,0.450958214315383,0.48
"82",0,0.0868,0.412,0.619,0.921018305143702,0.0725,0.284575912683959,0.234
"86",0,0.346,0.778,0.547,0.901821818339928,0.0489,0.278345442810677,0.441
"87",0,0.935,0.314,0.286,0.838384277577286,0.035,0.770514221446875,0.278
"88",0,0.952,0.379,0.29,0.875472846645506,0.051,0.735022908958457,0.169
"89",0,0.271,0.547,0.559,0.874538023392321,0.026,0.629360530133108,0.223
"92",0,0.879,0.409,0.141,0.840536545067177,0.0331,0.650486615672667,0.302
"95",0,0.737,0.364,0.311,0.909126483760163,0.0323,0.946302935030577,0.345
"98",0,0.446,0.521,0.411,0.850341319187791,0.0272,0.579267552351923,0.145
"101",0,0.744,0.574,0.284,0.780773077090308,0.0558,0.441551802363105,0.507
"110",0,0.00391,0.936,0.76,0.88877777294665,0.282,0.492271022244375,0.657
"111",0,0.00627,0.766,0.873,0.921213965824601,0.143,0.482743196007387,0.743
"114",0,0.682,0.649,0.43,0.901973998869516,0.0266,0.284671766066625,0.529
"115",0,0.189,0.315,0.55,0.9371277012044,0.0289,0.113726843420304,0.333
"123",0,0.0146,0.814,0.955,0.931562241836602,0.0377,0.501939433442606,0.963
"125",0,0.634,0.506,0.372,0.875342406191574,0.0642,0.631232866207848,0.234
"127",0,0.686,0.702,0.307,0.827688160354798,0.0289,0.386883423116002,0.41
"130",0,0.0215,0.592,0.792,0.932018783425366,0.0335,0.444484915872681,0.293
"131",0,0.446,0.712,0.51,0.882494891082221,0.0633,0.457028928550889,0.268
"132",0,0.615,0.31,0.269,0.858146006348102,0.0308,0.490136686923682,0.0724
"134",0,0.723,0.786,0.351,0.953215357189443,0.0369,0.40607327032571,0.478
"135",0,0.154,0.468,0.64,0.932497065089786,0.0275,0.177986951159506,0.499
"146",0,0.0485,0.48,0.718,0.941214835427627,0.0603,0.719175149691033,0.252
"148",0,0.00129,0.494,0.946,1,0.0637,0.332061678456633,0.741
"149",0,0.474,0.781,0.445,0.928170790034349,0.0295,0.1760762737317,0.591
"155",0,0.00382,0.61,0.683,0.97560763511457,0.0253,0.361424764679946,0.466
"156",0,0.758,0.692,0.358,0.884386277664246,0.0254,0.284543961556403,0.526
"159",0,0.725,0.313,0.32,0.843580155658942,0.0292,0.297797289266338,0.395
"161",0,0.151,0.696,0.59,0.898452106613331,0.0904,0.310181546306769,0.462
"162",0,0.0415,0.69,0.524,0.877538153832775,0.103,0.719405197809431,0.562
"164",0,0.921,0.667,0.13,0.751097873820601,0.0348,0.565196275776572,0.457
"170",0,0.922,0.422,0.264,0.90636549415192,0.0322,0.437640984350338,0.331
"173",0,0.0023,0.978,0.787,0.99928257750337,0.0394,0.412565739444945,0.597
"175",0,0.686,0.586,0.439,0.862189660420018,0.0296,0.438292787352466,0.428
"179",0,0.254,0.583,0.584,0.943367102917518,0.0314,0.566142029152209,0.136
"183",0,0.767,0.524,0.527,0.866515935475455,0.0299,0.591134201125958,0.318
"186",0,0.344,0.606,0.459,0.919431279620853,0.0327,0.438286397126955,0.321
"187",0,0.0435,0.743,0.807,0.977759902604461,0.0364,0.591849906383196,0.899
"190",0,0.37,0.519,0.634,0.9162354884995,0.0398,0.692860201036495,0.273
"192",0,0.261,0.706,0.247,0.669463889734336,0.0311,0.488008741828499,0.424
"200",0,0.372,0.389,0.467,0.924996738988652,0.0273,0.565113202844928,0.29
"202",0,0.783,0.5,0.323,0.848384712378799,0.0263,0.579893794452006,0.372
"205",0,0.771,0.315,0.296,0.771620505239358,0.0317,0.774456990587198,0.436
"213",0,0.614,0.439,0.207,0.851819644332362,0.0296,0.543610094000217,0.263
"217",0,0.709,0.464,0.351,0.897778164268012,0.0273,0.499952073308667,0.134
"220",0,0.668,0.689,0.287,0.801100047828166,0.0336,0.456696636824314,0.399
"222",0,0.225,0.6,0.663,0.933801469629114,0.0477,0.444925841432944,0.286
"232",0,0.236,0.824,0.978,0.85897212922301,0.0616,0.489190933548045,0.78
"234",0,0.596,0.743,0.517,0.931301360928736,0.0304,0.437922154272824,0.71
"236",0,0.324,0.711,0.247,0.784664550632636,0.0284,0.34212628363655,0.491
"241",0,0.568,0.479,0.419,0.918257315535458,0.0389,0.214519870406227,0.186
"246",0,0.819,0.673,0.362,0.865363711465716,0.0441,0.170024730172728,0.599
"248",0,0.192,0.612,0.738,0.915409365624592,0.0479,0.190959108946955,0.883
"252",0,0.213,0.558,0.723,0.921605287186399,0.0294,0.169654097093086,0.7
"255",0,0.655,0.702,0.436,0.843623635810253,0.032,0.425525116781371,0.461
"260",0,0.117,0.606,0.864,0.896799860863516,0.0919,0.334783914524344,0.579
"265",0,0.876,0.568,0.316,0.849884777599026,0.0257,0.201177079539137,0.234
"269",0,0.6,0.651,0.312,0.863189703900169,0.0528,0.374096581868374,0.324
"279",0,0.64,0.506,0.367,0.861667898604287,0.0288,0.705014409958527,0.569
"281",0,0.679,0.734,0.431,0.854798034697161,0.0266,0.272134143613928,0.76
"283",0,0.652,0.533,0.389,0.817252924040176,0.0259,0.310155985404725,0.613
"286",0,0.24,0.683,0.687,0.933127527283795,0.0274,0.304117222296775,0.502
"287",0,0.416,0.704,0.423,0.912278794730206,0.0862,0.399504118500342,0.451
"290",0,0.751,0.739,0.365,0.935345015000652,0.0415,0.285329959294264,0.699
"291",0,0.0509,0.662,0.612,0.951389190834384,0.0311,0.399427435794209,0.177
"293",0,0.467,0.472,0.572,0.937084221053089,0.0282,0.191348912703129,0.361
"295",0,0.0293,0.447,0.694,0.959128657767729,0.382,0.795097418987916,0.509
"296",0,0.857,0.407,0.147,0.868146441149615,0.0355,0.574097859913476,0.0765
"299",0,0.886,0.494,0.119,0.802730553502326,0.0271,0.194013636741241,0.264
"300",0,0.391,0.528,0.624,0.916170268272534,0.0301,0.182805181194844,0.374
"306",0,0.733,0.769,0.371,0.874668463846254,0.0326,0.310290180140457,0.653
"307",0,0.0109,0.781,0.599,0.918605156745945,0.0436,0.438426982088198,0.608
"308",0,0.185,0.633,0.792,0.908452541414844,0.149,0.794630932525609,0.918
"316",0,0.0279,0.774,0.847,0.974607591634419,0.121,0.585133779371074,0.923
"317",0,0.828,0.78,0.209,0.79470846558546,0.0334,0.291170625411371,0.644
"321",0,0.727,0.56,0.442,0.902887082047046,0.0243,0.607096984452581,0.212
"322",0,0.25,0.491,0.802,0.90545241097439,0.0392,0.433295631002818,0.472
"324",0,0.047,0.595,0.723,0.880451323970607,0.0349,0.361680373700388,0.272
"325",0,0.385,0.509,0.538,0.900473933649289,0.0572,0.151096882208973,0.244
"329",0,0.1,0.461,0.446,0.892473585808079,0.0267,0.565049300589818,0.375
"331",0,0.044,0.666,0.78,0.947389016913779,0.0404,0.246407095706408,0.795
"341",0,0.104,0.529,0.607,0.912517935562416,0.0574,0.322846973269687,0.238
"350",0,0.403,0.667,0.613,0.943562763598417,0.0344,0.252925125727687,0.47
"356",1,0.965,0.0695,0.0108,0.478846906387234,0.0429,0.152311025056074,0.0377
"363",1,0.992,0.19,0.0266,0.495847645549807,0.0428,0.453124500763632,0.0574
"365",1,0.914,0.382,0.356,0.819492151832688,0.0305,0.347212903143352,0.378
"368",1,0.989,0.278,0.0815,0.413191877907735,0.0374,0.0563809596840673,0.0894
"369",1,0.989,0.299,0.00165,0.287925561980956,0.0504,0.100678002926723,0.186
"370",1,0.979,0.0771,0.175,0.63446236792904,0.0396,0.159397785147838,0.109
"371",1,0.943,0.357,0.083,0.543067089873473,0.0409,0.561636920166913,0.145
"373",1,0.826,0.165,0.139,0.648876038088612,0.042,0.503811769517346,0.0394
"377",1,0.989,0.311,0.084,0.553545806339406,0.035,0.349762603122264,0.131
"385",1,0.992,0.318,0.107,0.579655637201618,0.05,0.521998351321818,0.133
"387",1,0.958,0.25,0.135,0.655245880255663,0.0488,0.274524087955064,0.179
"389",1,0.99,0.362,0.00387,0.353341449628245,0.0424,0,0.0368
"403",1,0.982,0.342,0.0179,0.519783468846472,0.0387,0.0659023956955441,0.0382
"408",1,0.946,0.324,0.0412,0.611613548415148,0.0402,0.549584954853057,0.194
"409",1,0.865,0.215,0.166,0.698465150658724,0.0367,0.332278946124009,0.0411
"411",1,0.987,0.343,0.0209,0.472629244749772,0.0398,0.471585862265079,0.0393
"412",1,0.947,0.101,0.0241,0.403995825905474,0.0485,0.228105489842737,0.0329
"414",1,0.293,0.169,0.00183,0.205856776381582,0.0475,0.45353347519634,0.04
"415",1,0.98,0.167,0.0877,0.559980868733423,0.0479,0.258312085833509,0.0325
"416",1,0.939,0.0974,0.0547,0.627309883038393,0.0392,0.104224578085361,0.0364
"417",1,0.99,0.191,0.0946,0.503608852558807,0.0365,0.37739393823208,0.348
"418",1,0.727,0.102,0.0309,0.429192573590156,0.0433,0.194837975832167,0.0345
"419",1,0.95,0.356,0.207,0.673833644941084,0.0388,0.609058783684476,0.328
"420",1,0.992,0.137,0.078,0.485629809991739,0.0407,0.31006652224757,0.0441
"424",1,0.979,0.184,0.157,0.681290490890908,0.044,0.761708490692637,0.0805
"425",1,0.993,0.261,0.0275,0.440606113309274,0.0408,0.558384295381784,0.0624
"429",1,0.985,0.345,0.0085,0.508130788295143,0.049,0.499434465042271,0.0518
"434",1,0.863,0.197,0.133,0.532784034088439,0.0484,0.474397561489945,0.0389
"435",1,0.994,0.368,0.0224,0.380320883516675,0.0364,0.298257385503134,0.247
"436",1,0.964,0.183,0.0303,0.451237010304796,0.0448,0.112205969748672,0.0422
"441",1,0.92,0.239,0.132,0.699726075046741,0.0358,0.569841969723112,0.11
"444",1,0.952,0.655,0.103,0.393277968607331,0.0763,0.322942826652353,0.964
"449",1,0.983,0.302,0.0397,0.556611157006826,0.0384,0.512809207036916,0.0396
"455",1,0.948,0.179,0.0837,0.632592721422671,0.0496,0.195489778834295,0.0374
"462",1,0.992,0.147,0.0591,0.477672942301839,0.054,0.216871473394296,0.0278
"464",1,0.993,0.349,0.164,0.600460889603896,0.0389,0.259257839209146,0.111
"470",1,0.995,0.244,0.0021,0.167637723379277,0.0417,0.0825617136028731,0.187
"471",1,0.982,0.194,0.0324,0.446541153963216,0.0382,0.592284441717948,0.0596
"473",1,0.915,0.235,0.282,0.728466455063264,0.0523,0.242873300998792,0.103
"479",1,0.989,0.3,0.0257,0.410322187921214,0.0515,0.149122302526056,0.0374
"486",1,0.969,0.277,0.0344,0.438584286273316,0.0482,0.305465559879608,0.117
"487",1,0.979,0.299,0.0663,0.535588503847993,0.0459,0.359379892516407,0.102
"493",1,0.532,0.233,0.513,0.727618592112701,0.109,0.591958540216884,0.108
"498",1,0.984,0.0768,0.0779,0.501652245749815,0.0426,0.183405862392884,0.036
"503",1,0.962,0.397,0.0211,0.472455324144528,0.0363,0.269149908300264,0.502
"506",1,0.987,0.287,0.0789,0.557480760033045,0.0416,0.0819610324048335,0.0371
"513",1,0.846,0.18,0.249,0.699247793382321,0.038,0.210142565931152,0.0394
"514",1,0.95,0.0813,0.163,0.686486368972564,0.0436,0.203036635162855,0.0306
"520",1,0.805,0.137,0.0292,0.500021740075655,0.0425,0.189591600687588,0.0309
"527",1,0.829,0.441,0.319,0.755793730162181,0.0392,0.306571068893021,0.671
"528",1,0.996,0.37,0.00375,0.260098265141963,0.0471,0.531743445226182,0.193
"530",1,0.995,0.338,0.00719,0.355080655680682,0.0437,0.103189361552569,0.034
"532",1,0.866,0.154,0.0952,0.591786599417366,0.044,0.134520637233288,0.0589
"534",1,0.993,0.248,0.0151,0.359624331492674,0.0346,0.52122513403498,0.0375
"540",1,0.995,0.164,0.156,0.605221966172442,0.0423,0.543092485733822,0.0396
"551",1,0.988,0.134,0.0861,0.570416105048046,0.0441,0.649189399893922,0.0355
"563",1,0.845,0.255,0.108,0.561633114483238,0.0473,0.331256510042239,0.108
"564",1,0.906,0.322,0.14,0.608896038958216,0.0489,0.259941593338829,0.285
"567",1,0.984,0.356,0.107,0.417496412887517,0.0346,0.273079896989565,0.332
"572",1,0.995,0.398,0.00293,0.419018218183399,0.0666,0.504955619883826,0.0804
"576",1,0.967,0.146,0.0238,0.49506500282621,0.0389,0.133849663554627,0.0398
"578",1,0.979,0.209,0.0215,0.397604243662768,0.043,0.23271284243621,0.164
"579",1,0.966,0.245,0.137,0.678768642114875,0.0379,0.565880029906255,0.066
"580",1,0.995,0.348,0.0185,0.335905908952563,0.0474,0.531110812900587,0.1
"581",1,0.679,0.11,0.0594,0.63657115526762,0.0384,0.207727060687972,0.0951
"586",1,0.974,0.114,0.00658,0.35686334188443,0.0436,0.167059665535597,0.032
"590",1,0.992,0.24,0.0772,0.503282751423975,0.0475,0.100620490897124,0.0325
"591",1,0.945,0.396,0.126,0.559676507674247,0.0465,0.296308366722262,0.11
"596",1,0.77,0.0595,0.00228,0.313383190573503,0.0536,0.0877889180709187,0.0205
"600",1,0.931,0.194,0.101,0.586612461411366,0.048,0.257500527193605,0.074
"601",1,0.981,0.165,0.0519,0.506152441410496,0.0512,0.1626120685799,0.0398
"602",1,0.981,0.578,0.0303,0.476585938519066,0.0468,0.403037913207957,0.52
"604",1,0.968,0.176,0.0416,0.480868733423192,0.0402,0.225319351519915,0.074
"605",1,0.987,0.165,0.0644,0.458780816557242,0.0428,0.3723200991763,0.0713
"608",1,0.992,0.235,0.166,0.633136223314057,0.0347,0.317837036469017,0.0356
"610",1,0.919,0.382,0.215,0.684312361407018,0.0593,0.739706944258063,0.0664
"613",1,0.989,0.217,0.0378,0.510870037827732,0.0332,0.181035088728281,0.0925
"627",1,0.974,0.219,0.0937,0.511087438584286,0.0434,0.467560020193113,0.0347
"631",1,0.931,0.138,0.0636,0.517761641810514,0.0487,0.20602726070203,0.0388
"632",1,0.99,0.2,0.0128,0.290512630983956,0.0446,0.168721124168472,0.0572
"634",1,0.984,0.159,0.0401,0.461737466846385,0.0446,0.350152406878439,0.106
"644",1,0.95,0.277,0.0309,0.513891908343841,0.0356,0.198882988580667,0.123
"645",1,0.6,0.152,0.153,0.660506978564285,0.036,0.547418668404808,0.0905
"648",1,0.878,0.292,0.202,0.580481760076525,0.0328,0.294359347941389,0.501
"658",1,0.964,0.364,0.189,0.578938214704987,0.0425,0.383183482545099,0.283
"661",1,0.968,0.421,0.231,0.704291490934388,0.0507,0.307523212494169,0.123
"665",1,0.961,0.156,0.0776,0.572242271403104,0.0411,0.534791582794957,0.0253
"669",1,0.989,0.282,0.0246,0.496586808122092,0.0386,0.3803526126437,0.0384
"671",1,0.988,0.411,0.174,0.65296317231184,0.0532,0.157915252829272,0.113
"678",1,0.854,0.0841,0.0131,0.261728770816122,0.0467,0.212034072682425,0.0336
"681",1,0.842,0.147,0.382,0.708487325535893,0.071,0.779460537162357,0.0577
"685",1,0.985,0.155,0.0056,0.36975520674812,0.0392,0.212986216283573,0.0473
