"","playlist","acou","dance","energy","loud","speech","tempo","val"
"2",0,0.142,0.773,0.525,0.812144006261142,0.0385,0.431851440037319,0.616
"3",0,0.0824,0.472,0.373,0.852537066828993,0.028,0.628542581267693,0.337
"4",0,0.697,0.547,0.39,0.930670898734728,0.0271,0.493862188396629,0.477
"7",0,0.648,0.45,0.658,0.90636549415192,0.0472,0.353730933164631,0.781
"8",0,0.726,0.349,0.348,0.926409843906257,0.0316,0.147595038628913,0.0886
"9",0,0.142,0.675,0.764,0.924214096265055,0.0373,0.438145812165711,0.474
"10",0,0.296,0.623,0.417,0.870820470455237,0.0354,0.502195042463049,0.721
"11",0,0.405,0.373,0.367,0.884386277664246,0.0277,0.165129817431257,0.165
"12",0,0.869,0.629,0.254,0.850471759641724,0.0687,0.285930640492303,0.457
"13",0,0.762,0.339,0.249,0.762772294447585,0.0296,0.277527493945261,0.159
"16",0,0.0647,0.575,0.886,0.947280316535501,0.034,0.286691077328119,0.608
"17",0,0.23,0.736,0.411,0.914170181312231,0.0299,0.278319881908633,0.798
"18",0,0.217,0.675,0.885,0.963585373277099,0.0436,0.291304820147103,0.768
"19",0,0.694,0.522,0.44,0.900430453497978,0.0268,0.43723200991763,0.183
"20",0,0.0992,0.547,0.752,0.94791077872951,0.0274,0.629807845918883,0.716
"22",0,0.428,0.743,0.389,0.850884821079177,0.0317,0.221050680878528,0.56
"23",0,0.704,0.358,0.275,0.878972998826036,0.0277,0.333167187470046,0.117
"24",0,0.785,0.531,0.157,0.743554067568155,0.0493,0.111956750953741,0.347
"25",0,0.308,0.696,0.543,0.925931562241836,0.0489,0.36120749701257,0.479
"28",0,0.227,0.51,0.308,0.860624374972825,0.0321,0.478659841905821,0.138
"29",0,0.152,0.677,0.497,0.934649332579677,0.0809,0.304769025298903,0.419
"31",0,0.106,0.477,0.606,0.913017957302491,0.0253,0.151697563407013,0.515
"32",0,0.554,0.453,0.496,0.934171050915257,0.0453,0.188831163851772,0.501
"33",0,0.491,0.576,0.39,0.903365363711466,0.0297,0.140514668762661,0.319
"34",0,0.448,0.599,0.785,0.972694464976738,0.0309,0.566186760730786,0.52
"35",0,0.932,0.612,0.28,0.871929214313666,0.0434,0.136437704886605,0.387
"37",0,0.0294,0.591,0.741,0.934910213487543,0.139,0.291419844206302,0.452
"38",0,0.594,0.664,0.491,0.917670333492761,0.042,0.489018397459246,0.24
"39",0,0.805,0.398,0.316,0.90708291664855,0.0368,0.429026960361431,0.174
"45",0,0.193,0.557,0.609,0.96291143093178,0.0259,0.33590859421429,0.172
"48",0,0.0196,0.484,0.841,0.941714857167703,0.0291,0.259954373789851,0.304
"49",0,0.065,0.425,0.889,0.936018957345972,0.0802,0.710286346005151,0.644
"51",0,0.00577,0.706,0.801,0.922257489456063,0.0399,0.31036686284659,0.63
"52",0,0.609,0.881,0.394,0.889603895821557,0.059,0.348682655010895,0.915
"53",0,0.595,0.686,0.457,0.879016478977347,0.0468,0.635884950379899,0.718
"55",0,0.607,0.614,0.379,0.832101395712857,0.0476,0.361335301522791,0.201
"56",0,0.75,0.496,0.246,0.845101960954824,0.0267,0.629648090281106,0.23
"57",0,0.697,0.53,0.346,0.831731814426714,0.0376,0.450076363194857,0.359
"58",0,0.435,0.487,0.559,0.938475585895039,0.0299,0.237799461943012,0.26
"60",0,0.546,0.352,0.45,0.84512370103048,0.0293,0.226808274063992,0.114
"61",0,0.83,0.581,0.443,0.871277012044002,0.0357,0.162318118206391,0.446
"62",0,0.861,0.624,0.28,0.833514500630462,0.029,0.3427908670897,0.288
"65",0,0.108,0.539,0.493,0.882516631157876,0.0323,0.642767223255309,0.281
"67",0,0.713,0.623,0.439,0.891734423235793,0.0294,0.456377125548761,0.695
"68",0,0.763,0.722,0.488,0.911952693595374,0.0265,0.373898484877531,0.628
"69",0,0.669,0.642,0.289,0.844319318231227,0.0367,0.214404846347028,0.407
"70",0,0.962,0.47,0.271,0.878733857993826,0.0392,0.499581440229026,0.388
"71",0,0.905,0.498,0.203,0.808252532718814,0.0297,0.0919106135255513,0.358
"72",0,0.155,0.5,0.74,0.987825557632941,0.0398,0.460134578149263,0.332
"74",0,0.96,0.698,0.243,0.818557328579503,0.033,0.195496169059806,0.485
"75",0,0.858,0.527,0.322,0.847884690638723,0.0275,0.200787275782962,0.285
"76",0,0.476,0.792,0.635,0.912626635940693,0.0678,0.386896203567024,0.841
"77",0,0.779,0.587,0.299,0.899821731379625,0.0263,0.278281540555566,0.356
"78",0,0.246,0.566,0.417,0.870559589547372,0.0247,0.565809737425634,0.205
"80",0,0.609,0.821,0.241,0.84512370103048,0.0388,0.265705576749804,0.487
"81",0,0.246,0.255,0.652,0.93147528153398,0.0614,0.883058873147634,0.281
"83",0,0.441,0.26,0.478,0.891625722857516,0.0349,0.939024468173482,0.278
"84",0,0.941,0.485,0.109,0.693682334014522,0.0317,0.508834486769038,0.214
"85",0,0.421,0.38,0.553,0.91599634766729,0.0653,0.819131057135006,0.384
"90",0,0.95,0.688,0.296,0.819405191530067,0.0872,0.240572819814811,0.478
"91",0,0.822,0.609,0.442,0.915844167137702,0.0269,0.553968649553643,0.247
"93",0,0.0000924,0.547,0.693,0.868929083873212,0.0353,0.435321332489824,0.583
"94",0,0.734,0.514,0.178,0.834297143354059,0.0301,0.610010927285624,0.391
"96",0,0.0505,0.855,0.587,0.960172181399191,0.0336,0.386774789282314,0.64
"97",0,0.535,0.752,0.505,0.894256272011827,0.253,0.258970279061148,0.419
"99",0,0.249,0.653,0.677,0.79375190225662,0.0396,0.402111330508854,0.888
"100",0,0.132,0.439,0.489,0.92327927301187,0.0368,0.590226789103387,0.253
"102",0,0.632,0.632,0.38,0.864515848515153,0.0245,0.272153314290461,0.586
"103",0,0.257,0.671,0.373,0.667224661941824,0.0323,0.263743777517909,0.732
"104",0,0.612,0.705,0.467,0.872190095221531,0.0442,0.220839803436663,0.779
"105",0,0.765,0.653,0.229,0.816492021392234,0.181,0.74530478180575,0.519
"106",0,0.0151,0.637,0.843,0.942258359059089,0.0432,0.367872502220603,0.434
"107",0,0.0021,0.774,0.75,0.952824035827645,0.0413,0.425403702496661,0.925
"108",0,0.0262,0.738,0.483,0.866124614113657,0.0403,0.268478934621603,0.355
"109",0,0.0133,0.726,0.429,0.915952867515979,0.0519,0.220175219983513,0.871
"112",0,0.488,0.367,0.657,0.935866776816383,0.0366,0.858616260567835,0.217
"113",0,0.858,0.498,0.316,0.917452932736206,0.03,0.157135645316923,0.12
"116",0,0.732,0.671,0.456,0.879212139658246,0.0943,0.576992632069986,0.388
"117",0,0.0108,0.8,0.894,0.900234792817079,0.04,0.556179667580469,0.967
"118",0,0.676,0.661,0.733,0.943736684203661,0.129,0.552498897686099,0.556
"119",0,0.371,0.443,0.55,0.920431323101004,0.041,0.166631520426356,0.188
"120",0,0.0151,0.616,0.83,0.956519848689073,0.034,0.406201074835931,0.732
"121",0,0.27,0.583,0.667,0.900126092438802,0.029,0.566071736671587,0.53
"122",0,0.00357,0.555,0.729,0.955302404452367,0.0387,0.49561950041217,0.369
"124",0,0.287,0.397,0.446,0.898821687899474,0.0248,0.761056687690509,0.199
"126",0,0.62,0.55,0.656,0.890995260663507,0.0538,0.259430375297944,0.695
"128",0,0.0433,0.496,0.797,0.927562067915996,0.0375,0.795774782892088,0.376
"129",0,0.4,0.63,0.53,0.902126179399104,0.0434,0.361648422572833,0.417
"133",0,0.00281,0.633,0.976,0.943367102917518,0.0519,0.578845797468193,0.493
"136",0,0.0577,0.565,0.782,0.920518283403626,0.0506,0.565918371259322,0.4
"137",0,0.167,0.739,0.511,0.889408235140658,0.0362,0.284965716440133,0.542
"138",0,0.271,0.307,0.425,0.865928953432758,0.0372,0.365834020282576,0.136
"139",0,0.85,0.576,0.25,0.84234097134658,0.0319,0.488545520771428,0.155
"140",0,0.802,0.473,0.236,0.816948562980999,0.0388,0.821252612004678,0.316
"141",0,0.657,0.696,0.275,0.824688029914344,0.0287,0.271629315798555,0.514
"142",0,0.0582,0.886,0.448,0.867189877820775,0.112,0.501773287579319,0.731
"143",0,0.553,0.697,0.447,0.88901691377886,0.0282,0.150489810785423,0.54
